Meet,Date,Results
Rice Invitational,"Oct 14–15, 2022","[('200 Y IM', '2:05.04', '–'), ('100 Y Free', '51.67', '–'), ('50 Y Back', '26.29', '–')]"
USA Swimming Futures Championship - College Station,"Jul 27–30, 2022","[('100 L Back', '1:05.08', '+2.9%'), ('100 L Free', '59.43', '+4.6%'), ('', '', '')]"
Texas Senior Circuit LC Meet,"Jun 23–25, 2022","[('100 L Back', '1:06.99', '+30.2%'), ('50 L Free', '28.35', '–'), ('', '', '')]"
GU RICE Krispy Open Meet,"Jun 18, 2022","[('50 L Back', '32.02', '–'), ('100 L Free', '1:02.29', '–'), ('200 L IM', '2:36.16', '–')]"
CSCAA National Invitational Championship,"Mar 10–12, 2022","[('200 Y IM', '2:01.45', '+0.9%'), ('50 Y Free', '23.17', '+1.5%'), ('100 Y Back', '54.62', '-0.5%')]"
Conference USA Championships,"Feb 23–26, 2022","[('200 Y Back', '1:57.73', '+2.1%'), ('100 Y Back', '54.33', '+0.4%'), ('50 Y Back', '25.47', '+0.6%')]"
Texas vs. Rice,"Feb 5, 2022","[('200 Y IM', '2:04.87', '-1.9%'), ('100 Y Back', '56.40', '-3.4%'), ('50 Y Back', '26.56', '-3.6%')]"
Incarnate Word vs. Rice vs. Texas Christian (Women Only),"Jan 28, 2022","[('100 Y Back', '58.40', '-7.0%'), ('200 Y Back', '2:07.80', '-6.3%'), ('', '', '')]"
Rice vs. North Texas,"Jan 22, 2022","[('100 Y Free', '54.59', '-4.5%'), ('100 Y Back', '59.21', '-8.5%'), ('', '', '')]"
Rice vs Texas A&M ,"Dec 4, 2021","[('50 Y Back', '27.06', '-5.6%'), ('100 Y Back', '59.62', '-9.3%'), ('', '', '')]"
Phill Hansel Invitational,"Nov 18–20, 2021","[('200 Y IM', '2:02.58', '–'), ('100 Y Back', '54.56', '+1.2%'), ('50 Y Back', '25.63', '+3.7%')]"
Rice vs. Houston,"Oct 15–16, 2021","[('100 Y Free', '52.23', '–'), ('50 Y Free', '24.06', '–'), ('50 Y Back', '26.62', '–')]"
Bromley SC Time Trials June 20,"Jun 26, 2021","[('50 S Back', '28.70', '–'), ('100 S Back', '1:02.09', '–'), ('100 S Free', '58.38', '–')]"
Conference USA Women's Championship,"Feb 25–27, 2021","[('200 Y Back', '1:58.12', '–'), ('100 Y Back', '54.61', '+0.1%'), ('50 Y Back', '25.67', '+0.3%')]"
Houston Invitational,"Feb 13, 2021","[('100 Y Free', '51.56', '-0.5%'), ('200 Y IM', '2:07.87', '–'), ('', '', '')]"
Houston LCM Invitational,"Feb 13, 2021","[('100 L Back', '1:04.48', '–'), ('', '', ''), ('', '', '')]"
Houston vs. Rice,"Feb 3, 2021","[('100 Y Back', '54.95', '-0.2%'), ('50 Y Back', '26.02', '-1.0%'), ('100 Y Free', '52.06', '-1.5%')]"
Rice vs Tulane 3 session 11/20,"Nov 20–21, 2020","[('50 Y Fly', '25.30', '–'), ('50 Y Back', '25.76', '+2.4%'), ('100 Y Back', '54.86', '–')]"
Texas A&M vs Rice,"Oct 23, 2020","[('50 Y Back', '26.38', '–'), ('50 Y Free', '23.86', '–'), ('100 Y Free', '52.36', '–')]"
